Throughput
2995215
3116080
3216429
3223352
3235535
3260649
3243558
3244002
3236518
3186484
3139847
3137881
3117987
3108149
3109228
3076844
3066665
3087754
3188629
3150620
3167738
3108603
3193129
3239324
3228120
3237589
3195788
3238646
3229638
3212152
3168821
3198304
3177106
3155863
3197119
3203928
3170998
3192616
3176942
3192996
3225005
3220860
3211472
3195210
3171634
3189038
3143145
3162781
3145159
3302894
3256244
3309550
3299279
3294025
3280945
3244185
3317878
3233408
3301893
3304060
3309896
3295834
3328626
3342431
3319884
3277689
3284440
3320406
3288639
3304900
3316709
3349870
3341921
3314418
3286642
3265148
3276741
3288001
3296499
3246684
3299631
3274947
3301502
3273059
3271431
3289243
3251589
3328378
3275945
3256488
3255228
3305348
3260505
3261458
3273681
3310713
3272959
3261155
3302198
3274495
5899
