Throughput
4054881
5131105
5193319
5285587
5341349
5330037
5418218
5335152
5342546
5413298
5389846
5350587
5396265
5391064
5341687
5362601
5318713
5356962
5328448
5384794
5337994
5387810
5462525
5348202
5381933
5312147
5327969
5329098
5284478
5383270
5392565
5351271
5322775
5297119
5348590
5291418
5407059
5361741
5392863
5321067
5288805
5360692
5321318
5416448
5327266
5264378
5324127
5279722
5340792
5365174
5359796
5375577
5278615
5286705
5314090
5271357
5273710
5330111
5237867
5237153
5386692
5255330
5320278
5248783
5208998
5412971
5394158
5283530
5352069
5408390
5353098
5379769
5310934
5364648
5340636
5338429
5467941
5531883
5502037
5498081
5466730
5610651
5600495
5530658
5459603
5487611
5462609
5478360
5511407
5470465
5477309
5462476
5551256
5510941
5594035
5536828
5479880
5478956
5490353
5492039
8957
